Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
WEST POINT 1102,10/25/2020 16:04,10/27/2020 14:46,"GLENCOE,
MOKELUMNE HILL,
MOUNTAIN
RANCH, RAIL
ROAD FLAT, WEST
POINT,
WILSEYVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",2826,2573,227,184,26
WESTLEY 1103*,10/25/2020 20:50,10/26/2020 16:46,PATTERSON,"Partially
Outside
HFTD",33,4,25,0,4
WHITMORE 1101,10/25/2020 14:09,10/27/2020 12:34,"MILLVILLE, OAK
RUN, WHITMORE","Tier 3,
Tier 2",517,468,39,29,10
WISHON 1101,10/25/2020 21:11,10/27/2020 10:00,"AUBERRY, NORTH
FORK","Tier 3,
Tier 2",12,10,2,0,0
WOODACRE 1101,10/25/2020 19:21,10/27/2020 8:44,"FOREST KNOLLS,
LAGUNITAS,
NICASIO, SAN
GERONIMO","Partially
Outside
HFTD,
Tier 3,
Tier 2",1189,1057,122,51,10
WOODACRE 1102,10/25/2020 19:36,10/27/2020 11:29,"FAIRFAX, SAN
ANSELMO, SAN
GERONIMO,
WOODACRE","Partially
Outside
HFTD,
Tier 3,
Tier 2",3006,2851,153,119,2
WOODSIDE 1101*,10/25/2020 22:00,10/27/2020 16:40,"REDWOOD CITY,
WOODSIDE","Tier 3,
Tier 2",699,616,78,19,5
WYANDOTTE 1103*,10/25/2020 14:20,10/27/2020 12:49,OROVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",533,480,51,62,2
WYANDOTTE 1105,10/25/2020 14:58,10/27/2020 10:44,OROVILLE,"Partially
Outside
HFTD",1,1,0,1,0
WYANDOTTE 1107*,10/25/2020 14:00,10/27/2020 13:18,OROVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",757,718,31,70,8
